epoch,lr,train_loss,train_acc,train_iou,val_loss,val_acc,val_iou,val_tree_iou,val_tree_prec,val_tree_rec
1,0.00020000,0.283882,0.961603,0.852862,0.089117,0.990762,0.958900,0.928293,0.953135,0.972690
2,0.00040000,0.134955,0.983308,0.928585,0.199965,0.985147,0.932481,0.881662,0.977329,0.900070
3,0.00060000,0.126469,0.983384,0.929044,0.064260,0.991270,0.961377,0.932685,0.947129,0.983912
4,0.00080000,0.125910,0.983814,0.930767,0.069704,0.990069,0.956400,0.924097,0.938738,0.983402
5,0.00100000,0.111010,0.984805,0.934843,0.062240,0.992613,0.967043,0.942489,0.956582,0.984609
6,0.00100000,0.095736,0.986905,0.943198,0.089135,0.987735,0.946691,0.907320,0.927440,0.976649
7,0.00099878,0.079602,0.988665,0.950430,0.057959,0.990382,0.957904,0.926759,0.935634,0.989869
8,0.00099514,0.090600,0.987753,0.946517,0.063961,0.992339,0.965713,0.940135,0.959882,0.978586
9,0.00098908,0.071676,0.989879,0.955432,0.064865,0.993233,0.969466,0.946622,0.969073,0.976111
10,0.00098065,0.072359,0.990122,0.956435,0.050668,0.993191,0.969549,0.946847,0.959225,0.986554
11,0.00096988,0.054150,0.991545,0.962466,0.083625,0.990959,0.959668,0.929603,0.956050,0.971103
12,0.00095682,0.075047,0.989141,0.952334,0.044581,0.992785,0.967977,0.944171,0.950904,0.992557
13,0.00094153,0.066125,0.990636,0.958594,0.044807,0.993890,0.972588,0.952132,0.962772,0.988525
14,0.00092410,0.067582,0.990836,0.959417,0.068510,0.992485,0.966339,0.941221,0.960853,0.978753
15,0.00090460,0.056987,0.991428,0.961986,0.054831,0.994172,0.973654,0.953936,0.971223,0.981683
16,0.00088314,0.059617,0.991653,0.962874,0.043610,0.994026,0.973194,0.953190,0.962922,0.989508
17,0.00085981,0.055100,0.991935,0.964097,0.130247,0.990844,0.958073,0.926497,0.986171,0.938692
18,0.00083473,0.057915,0.991697,0.963118,0.053737,0.993419,0.970406,0.948296,0.965319,0.981744
19,0.00080802,0.052419,0.992381,0.965969,0.046400,0.993182,0.969587,0.946936,0.956447,0.989608
20,0.00077982,0.050976,0.992337,0.965793,0.064714,0.992929,0.968058,0.944148,0.970255,0.972290
21,0.00075025,0.059947,0.991661,0.962879,0.044082,0.993255,0.969880,0.947438,0.957554,0.988973
22,0.00071947,0.045667,0.993193,0.969491,0.040738,0.994548,0.975447,0.957100,0.967095,0.989318
23,0.00068762,0.043472,0.993442,0.970565,0.042957,0.994839,0.976636,0.959144,0.972808,0.985567
24,0.00065485,0.040163,0.993515,0.970892,0.035947,0.994661,0.975996,0.958072,0.965273,0.992273
25,0.00062134,0.042549,0.993554,0.971043,0.053825,0.993750,0.971832,0.950771,0.967832,0.981797
26,0.00058724,0.043226,0.993624,0.971340,0.039171,0.994767,0.976391,0.958739,0.969073,0.989000
27,0.00055271,0.038504,0.994184,0.973790,0.038160,0.995015,0.977466,0.960606,0.971324,0.988643
28,0.00051793,0.042012,0.993699,0.971672,0.035032,0.994259,0.974290,0.955119,0.960928,0.993711
29,0.00048307,0.037469,0.994130,0.973554,0.037256,0.994597,0.975703,0.957560,0.965419,0.991570
30,0.00044829,0.038750,0.994255,0.974089,0.034448,0.994850,0.976812,0.959489,0.966774,0.992208
31,0.00041376,0.036735,0.994231,0.973999,0.035389,0.995457,0.979408,0.963987,0.974401,0.989035
32,0.00037966,0.035448,0.994459,0.974994,0.037950,0.994317,0.974461,0.955391,0.964719,0.989981
33,0.00034615,0.041015,0.994105,0.973442,0.039650,0.994662,0.975922,0.957920,0.968909,0.988299
34,0.00031338,0.038184,0.994437,0.974881,0.035495,0.993965,0.973073,0.953022,0.956868,0.995800
35,0.00028153,0.034475,0.994594,0.975590,0.033328,0.994902,0.977059,0.959924,0.966244,0.993233
36,0.00025075,0.034213,0.994772,0.976360,0.032438,0.995296,0.978761,0.962881,0.969849,0.992594
37,0.00022118,0.033786,0.994715,0.976109,0.033040,0.995125,0.978011,0.961575,0.968883,0.992217
38,0.00019298,0.035955,0.994886,0.976859,0.033726,0.995210,0.978371,0.962197,0.969981,0.991728
39,0.00016627,0.032577,0.994814,0.976550,0.033373,0.995671,0.980359,0.965646,0.975354,0.989797
40,0.00014119,0.031516,0.994898,0.976914,0.031451,0.994970,0.977365,0.960460,0.966145,0.993911
41,0.00011786,0.033371,0.994980,0.977271,0.034248,0.994540,0.975496,0.957212,0.963256,0.993487
42,0.00009640,0.034390,0.994608,0.975654,0.031618,0.995528,0.979770,0.964633,0.972133,0.992066
43,0.00007690,0.030933,0.995029,0.977497,0.031914,0.995297,0.978754,0.962864,0.970479,0.991917
44,0.00005947,0.029720,0.995226,0.978365,0.030274,0.995600,0.980086,0.965184,0.972513,0.992252
45,0.00004418,0.030125,0.995199,0.978242,0.031619,0.995395,0.979195,0.963636,0.970623,0.992585
46,0.00003112,0.030428,0.995217,0.978320,0.031185,0.995209,0.978396,0.962249,0.968527,0.993309
47,0.00002035,0.030572,0.995289,0.978634,0.030326,0.995623,0.980184,0.965354,0.972843,0.992089
48,0.00001192,0.029303,0.995357,0.978937,0.031464,0.995394,0.979180,0.963607,0.971081,0.992076
49,0.00000586,0.029856,0.995310,0.978727,0.030043,0.995624,0.980198,0.965381,0.972429,0.992548
50,0.00000222,0.031943,0.995184,0.978177,0.030938,0.995353,0.979018,0.963329,0.969932,0.992982
